Website,Results
gzn.nat.fau.de,Y
frickverlag.de,N
aswnet.de,Y
deutsches-ausschreibungsblatt.de,N
jkv-media.de,N
quelle-meyer.de,N
bvkm.de,N
mhp-medien.de,N
wind-energie.de,N
heizungsjournal.de,Y
fairkehr.de,Y
hanke-verlag.de,N
juve-verlag.de,N
ad-media.de,N
bernecker.de,N
amcham.de,Y
agricola-verlag.de,Y
acoustic-music.de,N
ava1.de,N
akp-redaktion.de,N
alphapublic.de,N
allgemeiner-fachverlag.de,N
umkehr.de,N
anbord.de,Y
editionsduboisbaudry.com,N
netmedia.group,Y
readymagazine.com,N
researchdesignreview.com,Y
ijlemr.com,Y
rekpub.com,Y
glibbo.com,Not Found
icm-experimental.springeropen.com,Y
journalijdr.com,Y
ijrerd.com,N
europeangamingcongress.com,Y
ijiesr.com,Y
trianglepubs.com,Y
ijaer.com,N
international-adviser.com,Y
brepols.net,Y
jare-sh.com,N
arepub.com,N
bellunopress.it,Y
rstjournal.com,Y
bop.unibe.ch,Y
ijern.com,Y
engelund.dk,N
maremacentre.com,Not Found
int-jecse.net,N
craftcount.com,N
ijaaer.com,N
ijessr.com,Y
ijaemr.com,N
ictsmedia.com,Y
scischolars.com,N
aratos.gr,Y
ijireeice.com,Y
journalmsr.com,Y
machineintelligence.co.uk,Y
historylearningsite.co.uk,Y
the-cryosphere.net,Y
wjlsr.com,N
ipgr.com,N
magusdigital.com,Y
wcrpub.com,Y
canadianjournalofnutrition.ca,Not Found
ocean-science.net,Y
roape.net,Y
cjsar.ca,Not Found
argusdelassurance.com,N
physiciansnews.com,Y
pikespeaknewspapers.com,Y
pioneernewsgroup.com,N
post-gazette.com,Not Found
richmond.com,Y
rp.pl,Y
pressreader.com,N
primorske.si,N
pdclarion.com,Y
provinstidningen.se,Y
diariodelaltoaragon.es,Y
lenouveleconomiste.fr,Y
pulitzerinc.com,N
punamustamedia.fi,N
quincymedia.com,N
rcsmediagroup.it,N
blue-pub.com,Not Found
fakty.ua,Y
reseauselect.com,Y
richardsonliving.com,Not Found
rosspub.com,Y
royharryman.com,Y
ruralpress.com,Not Found
sanduskyregister.com,Y
sanomalehtimedia.fi,Not Found
saratogatodaynewspaper.com,Y
medianorge.no,Y
seasidesignal.com,Y
t-g.com,Y
shorelinemediaco.com,Y
siouxfallsshoppingnews.com,N
healio.com,Y
estrepublicain.fr,Y
midilibre.fr,Y
somborskenovine.co.rs,N
somedia-promotion.ch,Y
sormlandsmedia.se,Y
southschuylkill.net,Y
houcyp.com,N
somdnews.com,Y
southern-sentinel.com,N
sulphurdailynews.com,N
swtimes.com,Y
spir.com,Not Found
sjvalley-times.com,N
stampenmedia.se,N
rexburgstandardjournal.com,Y
paper.standartnews.com,N
starherald.net,Y
sdllemonde.fr,N
steamboatpilot.com,Y
styria-multi-media.com,Not Found
yoursun.com,Y
sunmedia.ca,Not Found
amosmedia.com,N
squareupmedia.com,Y
newpathlearning.com,Y
euro-worldnetwork.com,Y
bitlume.com,Not Found
epublish4me.com,Y
ignites.com,Y
purplesquirrel.tv,Y
austar.com.au,Not Found
ncplus.pl,Y
paywizard.com,Y
omnicourse.io,Y
informedexecutives.com/,Not Found
prosolve.com,Y
internationalfinance.com,Y
pharmexec.com,Y
bostonparentspaper.com,Y
gold-standard.com,N
farm-news.com,Y
wmpress.org ,Not Found
metrofamilymagazine.com,Y
sideshowbooks.com,N
abjs.org,N
usni.org,Y
jashow.org,Y
mibor.com ,Not Found
stockmangrassfarmer.com,Y
imagepublishinginc.com,Not Found
licantrade.net,Not Found
aderome.com ,Not Found
minimediaonline.com,N
mcguirepublishing.com,Y
mises.org ,Not Found
greatjonesbooks.com,N
riemanmusic.com,N
libertybf.com,N
investingnews.com,Y
thejacobsen.com,Y
brightdaycalendars.com,Y
fulcrumbooks.com,Y
fiercemarkets.com,N
imagineability.ca,Y
ru.edu ,Not Found
portageandmainpress.com,Y
imprimerieleonard.com,N
hoffmanmedia.com,Y
literally.media,N
saint-jeanediteur.com,Y
perfectionlearning.com,Y
governing.com,Y
adirondacklifemag.com,Y
rodstaff.com,Y
current-reports.com,Y
dundurn.com,Y
nashvillescene.com,Y
hphr.org,Y
scbiznews.com,Y
gthreecom.com,Y
nautil.us,Y
get.wealthpress.com,N
faircount.com,N
sdlback.com,Y
rmsmg.com,Y
blackphonebook.com,N
goodgritmag.com,Y
pgoamedia.com,N
eturbonews.com,Y
stupiddope.com,Y
mobifusion.com,Y
crabtreebooks.com,Y
hmpublishing.com,Y
posthillpress.com,Y
pappinternational.com,Y
singaporemath.com,Y
stringletter.com,Y
broadviewpress.com,Y
seewritehear.com,Y
breakwaterbooks.com,Y
waterhousepress.com,Y
mednfo.com,Y
circleusa.com,Y
nextscreen.com,Y
cardthartic.com,Y
ppmghq.com,Y
overlookpress.com,Y
remnantonline.com,N
keywestgayrag.com,N
yulagirls.org,N
littlegrasshopperbooks.com,N
novelunits.com,N
dmediaassoc.com,Y
longleafservices.org,Y
dctvny.org,Not Found
doecooveragency.com,Y
activatelearning.com,Y
incose.org ,Not Found
timeless-com.com ,Not Found
bartash.com,N
mrobertsmedia.com,Y
avantpubs.com,Y
royaltypublishinghouse.com,N
lavoixdunord.ca,N
thecitizen.com,Y
nisquallyvalleyonline.com,Y
starnespublishing.com,N
goldenmediainc.com,N
princetoninfo.com,Y
myhorrynews.com,N
girlfridayproductions.com,Y
standpointonline.com,N
magazinek12.com,Not Found
intelligenesisllc.com,N
compos-juliot.fr,N
gedimat.fr,N
boydsleep.com,N
fastatucla.com,Y
speedfab-crete.com,N
essexcountycc.com,Y
pcog.org,Y
fowleswine.com,Y
saywitz.com,N
berryservices.fr,N
annandalegolf.com,Y
tangerinesalon.net,Y
myheartland.bank,Not Found
nextlevelchurch.com,N
oroccopier.co.uk,N
accessworldwide.net,N
prairiedunes.com,Y
morenews.it,N
keystonedc.com,N
bergeroninc.com,Y
eclecticprod.com,N
communicationsinternationalgroup.com,N
bonadei.fr,Y
iqformulations.com,N
citycateringcompany.com,Y
servomation.com,N
mangiatoridicervello.com,Y
rabbitair.com,N
milestonemagazine.com,Y
blach.com,N
carsonwealth.com,Y
servitehs.org,N
b.tc,N
omnibuild.com,Y
chiefoutsiders.com,N
inry.com,Y
go-applied.com,Y
wolferesearch.com,Y
aceloans.org,Y
premier.org.uk,Y
alegohealth.com,N
richwoodbank.com,N
tradingstandards.uk,Y
peaksware.com,Not Found
qustodio.com,Y
cormac-corp.com,N
saintandsofia.com,Y
witf.org,Y
backgroundscreening.com,Y
goodmansonconstruction.com,Y
aristocratmotors.com,Y
whettravel.com,Y
conquestgraphics.com,Not Found
beliefnet.com,Y
isbscorp.com,N
sturgischarterschool.com,N
lindsph.com,Y
intellitrac.com.au,N
periship.com,N
gotelectric.net,Y
knpr.org,N
pmpg.pl,N
lcgfacades.com,N
hawaiienergysystems.com,N
journalgraphics.com,Y
strpartners.com,N
frontierventures.org,Y
ergoresearch.com,N
onesourcebackground.com,Y
renovco.com,N
theharvardadvocate.com,Y
hesterdecorating.com,N
dashed.com,N
maxtonandcompany.com,Y
leparfaitparis.com,Y
compliancesigns.com,Y
radeylaw.com,Y
stylight.com,Y
fieldstonehomes.com,N
wcpo.com,Y
deluxe.com,Y
littleenglish.com,Y
millsaps.edu,N
javentechnologies.com,N
trindent.com,Y
iroparis.com,Y
wallix.com,N
adafruit.com,N
conductor.com,N
wearelhi.com,N
sopheon.com,Y
issa.com,Y
photoshelter.com,N
synchrogistics.com,N
masglobalconsulting.com,Y
promerit.com,Not Found
phacs.org,N
ipmcinc.com,N
wandera.com,N
searchgrouppartners.com,Y
harpers.org,Y
grindr.com,N
missouri.edu,N
kbwfinancial.com,Y
pancommunications.com,Y
directrelief.org,Not Found
intellectsoft.net,N
consumatori.it,Y
getgsi.com,Y
kshb.com,Y
atcfrance.fr,N
cnmllp.com,Y
confindustria.vicenza.it,N
kentuckyperformingarts.org,N
fakelove.tv,N
newclassrooms.org,Y
banks-sadler.com,N
gimbal.com,Y
asranalytics.com,N
wen-parker.com,N
trinitybuildingusa.com,N
getcloudapp.com,Y
falconrme.com,Y
pwhomeimprovement.com,Y
altansia.com,N
pacifichomeremodeling.com,Not Found
projecthopesc.org,Y
decanter.com,Y
salemwebnetwork.com,N
project-a.com,N
bsd7.org,N
streetbees.com,Y
connectedsolutionsgroup.com,Y
luxuryhotelschool.fr,N
luxuryrealestate.com,Not Found
restonlimo.com,Y
systoolsgroup.com,N
lifescapecolorado.com,N
greyhouse.com,N
fitchratings.com,Y
armory.nyc,Y
yellowpagesinc.com,N
chronogrammedia.com,Y
mcg.metrocreativeconnection.com,Y
abiresearch.com,Y
mysterywriters.org,Y
macmillanlearning.com,Y
castleconnolly.com,N
pro.bloombergtax.com,Y
jta.org,Y
tcf.org,Y
highline-media.com,N
27east.com,Y
davlermedia.com,Y
bookweb.org,Y
leaderherald.com,Y
circle.tcg.org,Y
robertscomm.com,Y
centerforinquiry.org,Y
glensfallschronicle.com,Y
primarywave.com,Y
dotmed.bz,Y
wolfenews.us,N
bluehorizonmedia.com,N
theanswercompany.com,Y
cortlandstandard.net,Y
unicorngraphics.com,N
vmagazine.com,Y
unified.com,N
eaglenewsonline.com,Y
amscan.org,Y
easthamptonstar.com,Y
boydellandbrewer.com,Y
valiantentertainment.com,Y
openroadintegratedmedia.com,Y
velocityviacom.com,Not Found
nylon.com,Y
thefisherman.com,Y
adirondackdailyenterprise.com,Y
ssence.com,N
torforgeblog.com,Y
buffalospree.com,Y
troyrecord.com,Y
thecity.nyc,Y
collegeart.org,Y
trustedmediabrands.com,N
lakecountrypennysaver.com,Y
centennialmedia.com,Y
timesunion.com,Y
ies.org,Y
sohopublishing.com,Y
mannpublications.com,Y
ebsco.com,Y
techbriefsmediagroup.com,N
southernliving.com,Y
hudsonvalleyone.com,Y
holytrinitypublications.com,Y
irishamerica.com,Y
ccarnet.org,Y
visionaireworld.com,N
spotlightnews.com,Y
digitalcontentnext.org,Y
papermag.com,Y
roundhillmusic.com,Y
nyvtmedia.com,Y
thenewpress.com,Y
1rwn.com,Y
paperhouseproductions.com,Y
thelivekindlyco.com,Y
brooklyndaily.com,Not Found
thechiefleader.com,Y
danspapers.com,Y
adk.org,Y
hbside.com,Y
rilm.org,Y
corp.credoreference.com,Y
fpa.org,Y
mellenpress.com,Y
peterpauper.com,Y
shadetreegreetings.com,Y
beveragemedia.com,Y
dckr.com,Y
galison.com,Y
wisemusicclassical.com,N
marquiswhoswho.com,Y
thisispei.com,N
aes2.org,Y
palgrave.com,Y
wsworkshop.org,Y
mmpinc.org,Y
montfortusa.org,N
syracusenewtimes.com,N
observertoday.com,Y
cnybj.com,Y
newcriterion.com,Y
leroyny.com,Y
papress.com,N
abbeville.com,Y
gummyindustries.com,Y
ventis.it,N
ridemovi.com,Y
develon.com,N
7pixel.it,N
domino.it,N
tun2u.it,Y
kellify.com,Y
nozio.biz,Y
giglio.org,N
1000farmacie.it,N
bitbang.com,Y
searchon.it,N
digitalmasterminds.it,N
brandongroup.it,Y
actnow.aworld.org,N
controlpanel.register.it,Y
xplacecompany.com,N
business.aruba.it,N
yourbiz.it,N
sintraconsulting.it,Y
interlogica.it,Y
pazienti.it,Y
unidata.it,Y
mono-grid.com,N
zerogrey.com,Y
cercaofficina.it,N
catobi.it,Y
youniversal.com,Y
digitalcombatacademy.it,N
flazio.com,Y
officinaidee.com,Y
noooagency.com,Y
vinhood.com,N
exelab.com,N
bhuman.it,Y
comparasemplice.it,N
imagelinenetwork.com,N
volvero.com,Y
thesisforyou.com,Y
trendevice.com,Y
namex.it,Y
seeweb.it,N
mm-one.com,N
mozestudio.com,Y
commercelayer.io,Y
peekaboovision.com,N
akiflow.com,Y
engitel.com,N
spiagge.it,Y
naxa.ws,N
coriweb.it,N
drop.it,Y
giuntios.it,N
dbinformation.it,Y
este.it,Y
editriceindustriale.it,Y
economymagazine.it,Y
promotionmagazine.it,Y
ilgiornaledellalogistica.it,Y
mep-edizioni.it,Y
sicseditore.it,N
cgems.it,N
lswrgroup.com,N
ediermes.it,Y
ariesdue.it,N
griffineditore.it,N
rivistacmi.it,Y
edi-cem.it,N
ceimagazine.ceinorme.it,Y
fiaccola.it,N
elevatorimagazine.com,Y
webandmagazine.media,N
sicurezzaegiustizia.com,Y
pubblicitaitalia.com,N
filodiritto.com,Y
ambientediritto.it,Y
sepel.it,N
foroitaliano.it,N
shopping.riza.it,N
hyperedizioni.com,N
aziendabanca.it,N
investors-mag.it,Y
bollettinotributario.com,Y
commercialistatelematico.com,Y
finanzaefisco.com,Y
sportivi.it,N
edizionianicia.it,N
italiaatavola-servizi.net,Y
store.gamberorosso.it,N
minervamedica.it,Not Found
euroedizioni.it,N
panoramasanita.it,Y
pensiero.it,Y
giornalidea.it,Y
mattioli1885journals.com,Y
publieditweb.it,Y
teknoscienze.com,Y
momentomedico.it,N
qandqmarketresearch.com,N
tespi.net,Y
deascuola.it,N
edizionipei.it,Y
tinnovamag.com,Y
larivistadelcolore.com,Y
corrieremarittimo.it,Y
messaggeromarittimo.it,Y
gruppoitaliaenergia.it,Y
ambientesicurezzaweb.it,Y
edifis.it,Y
gruppofood.com,N
shop.ilcampo.it,N
logisticamanagement.it,N
editricebibliografica.it,Not Found
savestudi.it,N
manutenzione-online.com,Y
lanuovaecologia.it,Y
networkdigital360.it,Y
osservatoriomalattierare.it,Y
requadro.com,N
dirittobancario.it,Y
cassazione.net,N
mintpublishing.it,N
juranews.it,N
eticanews.it,Y
cuenews.it,Y
bebeez.it,N
nurse24.it,N
gsanews.it,N
farmaciavirtuale.it,Y
veneziepost.it,N
nordesteconomia.gelocal.it,Y
ship2shore.it,N
mysolution.it,N
expoclima.net,Y
ecodallecitta.it,Y
iep.edu.es,Y
abaenglish.com,Y
ealde.es,Y
game-learn.com,Y
telefonicaeducaciondigital.com,Not Found
restauracionnews.com,Y
cnworld.es,Y
lingokids.com,Y
web.teaediciones.com,Y
vertice.org,N
educativa.com,N
openwebinars.net,Y
netexlearning.com,Y
editorialelearning.com,Y
lideditorial.com,Y
metodoformacion.com,N
esdesignbarcelona.com,N
grupoasis.com,N
everest.es,N
corp.zinio.com,Y
campusseas.com,N
adrformacion.com,N
blinklearning.com,Y
vozpopuli.com,Y
labasad.com,Y
escueladeescritores.com,N
editorialcasals.com,Y
neetwork.com,Y
cedro.org,Y
medicapanamericana.com,Y
formacionuniversitaria.com,Y
spainmedia.es,N
edicionesurano.com,Y
x.uoc.edu,Y
cursosccc.com,Y
grupoioe.es,Y
unibarcelona.com,Y
dicampus.es,N
weareshifta.com,Y
35mm.es,Y
interempresas.net,N
santillana.com,Y
motorpress-iberica.es,N
institutotraficoonline.com,Y
colanguage.com,N
bubok.es,Y
andaluciavuela.es,N
contentednet.com,N
habilon.com,Y
hearst.es,N
fundaciontrilema.org,Y
libreriacarrera.com,Y
cedeco.es,Y
sfera.es,N
logistalibros.com,Y
burlingtonbooks.com,Y
grupenciclopedia.cat,Y
editorialmic.com,N
uninet.edu,N
universitarialibros.com,Y
dipujaen.es,N
colegioantamira.com,N
comunitatvalenciana.com,Y
puntografico.net,N
as.com,Y
longdom.org,Y
bluemedia.es,Y
lidbusinessmedia.com,N
fecyt.es,N
marfeel.com,Y
fibonad.com,Y
billymob.com,Y
elcorreoweb.es,N
elpuntavui.cat,Y
elderecho.com,N
admanmedia.com,Y
normaeditorial.com,N
vidoomy.com,Y
ringover.es,N
exogroup.com,Y
crazy4media.com,N
tangelogames.com,Y
educaline.com,Y
smartprotection.com,N
kimiagroup.com,Y
wapatranslations.com,Y
airtouchmedia.com,Y
bcnscience.com,Y
fenieenergia.es,Y
in2.es,Y
antevenio.com,Y
rocketroi.com,N
ontech.es,N
enalquiler.com,Y
b720.com,N
secretsbahiareal.com,N
pinmar.com,Y
govertis.com,Y
bambuproducciones.com,Y
tecpesa.com,N
4dconcept.fr,N
blushingbooks.com,Y
kobunsha.com,N
english.keris.or.kr,Not Found
kratylos.com,N
kyodoprinting.co.jp,Not Found
lip6.fr,N
learningally.org,N
leefia.com,N
lsccom.com,Y
librisite.com,N
liguori.org,N
lindhardtogringhof.dk,Y
digitalbe.com,N
dilicom.net,Not Found
mendoncottagebooks.com,Y
metrodigi.com,N
mobilibook.com,N
namo.co.kr,N
nordsoft.fr,Y
ntxlibpartners.org,Not Found
dynomedia-inc.com,Not Found
pdftron.com,Y
ebook.nl,N
pixellence.fr,N
printingperiod.co.uk,Not Found
qbend.com,Not Found
penguinrandomhouse.com,N
readspeaker.com,Y
est.co.jp,Not Found
cornac.es,Not Found
shinchosha.co.jp,N
shueisha.co.jp,N
simplissimo.com.br,N
sistematik.net.tr,N
snapplify.com,Y
voyager.co.jp,N
sourcebooks.com,Y
kland.com.tw,N
syndicat-sdlc.fr,N
sne.fr,Y
dpublishing.org.tw,Not Found
